origin,dest,count
1,20,76816
2,20,53421
3,20,38436
4,20,34282
5,20,31893
6,20,22051
7,20,16431
8,20,9770
9,20,8578
10,20,8546
11,20,8496
12,20,7223
13,20,7124
14,20,7082
15,20,6565
16,20,6410
17,20,6154
18,20,5706
19,20,4895
